ID,Name,Parent ID,Level,Description,Tags,Last Updated,Top URLs
1.1.1.1.3.5,Sensors,1.1.1.1.3,6,,,2025-04-17,https://www.climatedrift.com/p/the-complete-guide-to-alternative; https://www.climatedrift.com/p/closing-the-loop; https://www.climatedrift.com/p/startups-dont-have-to-fail
1.1.1.1.3.5.1,Hub,1.1.1.1.3.5,7,,,2025-04-17,https://www.climatedrift.com/p/the-path-to-responsible-mining-211; https://www.climatedrift.com/p/climate-hype-curve-transportation-e62; https://www.climatedrift.com/p/a-look-at-food-and-agriculture
1.1.1.1.3.5.2,Blade,1.1.1.1.3.5,7,,,2025-04-17,https://www.climatedrift.com/p/the-guide-to-advanced-air-mobility
1.1.1.1.3.5.3,Windspeed,1.1.1.1.3.5,7,,,2025-04-17,https://www.climatedrift.com/p/startups-dont-have-to-fail; https://www.climatedrift.com/p/the-sustainable-aviation-fuel-saf; https://www.climatedrift.com/p/10-climate-podcasts-to-a-enjoy-on
1.1.1.1.3.6,Software,1.1.1.1.3,6,,,2025-04-17,https://www.climatedrift.com/p/the-overview-of-climate-solutions-6ba; https://www.climatedrift.com/p/blueprint-for-steering-distributed-f2c; https://www.climatedrift.com/p/how-has-the-climate-tech-capital
1.1.1.1.3.6.1,Yield Optimization,1.1.1.1.3.6,7,,,2025-04-17,https://www.climatedrift.com/p/recycled-aluminium-miracle-or-myth; https://www.climatedrift.com/p/transitioning-into-climate-big-company; https://www.climatedrift.com/p/can-the-rise-of-economic-nationalism
1.1.1.1.3.7,Maintenance,1.1.1.1.3,6,,,2025-04-17,https://www.climatedrift.com/p/the-decade-of-microgrids-commercialization-0c7; https://www.climatedrift.com/p/redefining-consumption-part-3; https://www.climatedrift.com/p/redefining-consumption-part-2
1.1.1.1.3.7.1,Inspections,1.1.1.1.3.7,7,,,2025-04-17,
1.1.1.1.3.7.2,Blade Maintenance,1.1.1.1.3.7,7,,,2025-04-17,https://www.climatedrift.com/p/the-decade-of-microgrids-commercialization-0c7; https://www.climatedrift.com/p/redefining-consumption-part-3; https://www.climatedrift.com/p/redefining-consumption-part-2
1.1.1.1.4,Hydropower,1.1.1.1,5,,,2025-04-17,https://www.climatedrift.com/p/the-s-curve-chronicles; https://www.climatedrift.com/p/the-capital-stack-for-scaling-climate
1.1.1.1.4.1,Modernising old plants,1.1.1.1.4,6,,,2025-04-17,https://www.climatedrift.com/p/a-guide-to-virtual-power-plants-vpp; https://www.climatedrift.com/p/blueprint-for-steering-distributed-f2c; https://www.climatedrift.com/p/a-look-at-food-and-agriculture
1.1.1.1.4.2,Generation,1.1.1.1.4,6,,,2025-04-17,https://www.climatedrift.com/p/microgrids-101; https://www.climatedrift.com/p/blueprint-for-steering-distributed; https://www.climatedrift.com/p/the-decade-of-microgrids-commercialization-0c7
1.1.1.1.4.2.1,Conventional,1.1.1.1.4.2,7,,,2025-04-17,https://www.climatedrift.com/p/the-sustainable-aviation-fuel-saf; https://www.climatedrift.com/p/surviving-the-four-valleys-of-death; https://www.climatedrift.com/p/how-can-we-train-young-farmers-to
1.1.1.1.4.2.2,Pumped Storage,1.1.1.1.4.2,7,,,2025-04-17,https://www.climatedrift.com/p/powering-the-future; https://www.climatedrift.com/p/the-battery-energy-storage-system; https://www.climatedrift.com/p/how-can-we-incentivize-safe-and-durable
1.1.1.1.4.2.3,Run-of-river,1.1.1.1.4.2,7,,,2025-04-17,
1.1.1.1.4.2.4,Tide,1.1.1.1.4.2,7,,,2025-04-17,https://www.climatedrift.com/p/the-battery-energy-storage-system; https://www.climatedrift.com/p/can-the-rise-of-economic-nationalism; https://www.climatedrift.com/p/50-predictions-for-2025-part-3-the
1.1.1.1.4.2.5,In-pipe,1.1.1.1.4.2,7,,,2025-04-17,
1.1.1.1.4.3,Drought Management & Planning,1.1.1.1.4,6,,,2025-04-17,https://www.climatedrift.com/p/closing-the-loop; https://www.climatedrift.com/p/how-green-is-the-beauty-industry; https://www.climatedrift.com/p/how-can-we-incentivize-safe-and-durable-f1c
1.1.1.1.4.4,Environmental Impact,1.1.1.1.4,6,,,2025-04-17,https://www.climatedrift.com/p/are-there-sustainable-alternatives; https://www.climatedrift.com/p/can-the-rise-of-economic-nationalism; https://www.climatedrift.com/p/the-path-to-responsible-mining-211
1.1.1.1.4.4.1,Assessment,1.1.1.1.4.4,7,,,2025-04-17,https://www.climatedrift.com/p/how-can-we-incentivize-safe-and-durable-f1c; https://www.climatedrift.com/p/how-green-is-the-beauty-industry; https://www.climatedrift.com/p/refurbishment-and-ikea
1.1.1.1.4.4.2,Mitigation,1.1.1.1.4.4,7,,,2025-04-17,https://www.climatedrift.com/p/a-guide-to-enteric-methane; https://www.climatedrift.com/p/strategic-risks; https://www.climatedrift.com/p/the-capital-stack-for-scaling-climate
1.1.1.1.5,Biomass & Waste-To-Energy (WTE),1.1.1.1,5,,,2025-04-17,https://www.climatedrift.com/p/the-sustainable-aviation-fuel-saf; https://www.climatedrift.com/p/a-look-at-carbon-removal; https://www.climatedrift.com/p/the-guide-to-the-carbon-removal-hype-b6f
1.1.1.1.5.1,Carbon Capture & Storage,1.1.1.1.5,6,,,2025-04-17,https://www.climatedrift.com/p/a-look-at-carbon-removal; https://www.climatedrift.com/p/carbon-offsets-explained-part-3; https://www.climatedrift.com/p/the-guide-to-the-carbon-removal-hype
1.1.1.1.5.2,Waste Management,1.1.1.1.5,6,,,2025-04-17,https://www.climatedrift.com/p/closing-the-loop; https://www.climatedrift.com/p/is-ugly-produce-a-solution-to-food; https://www.climatedrift.com/p/new-material-matters
1.1.1.2,Nuclear,1.1.1,4,,,2025-04-17,https://www.climatedrift.com/p/friday-five-2-5-climate-wins-this; https://www.climatedrift.com/p/blueprint-for-steering-distributed; https://www.climatedrift.com/p/50-predictions-for-2025-part-2-sector
1.1.1.2.1,Fission,1.1.1.2,5,,,2025-04-17,
1.1.1.2.2,Fusion,1.1.1.2,5,,,2025-04-17,https://www.climatedrift.com/p/friday-five-nat-bullards-must-read; https://www.climatedrift.com/p/50-predictions-for-2025-part-3-the; https://www.climatedrift.com/p/technology-readiness-level-from-idea
1.1.1.3,Fossil Fuels,1.1.1,4,,,2025-04-17,https://www.climatedrift.com/p/how-can-we-incentivize-safe-and-durable; https://www.climatedrift.com/p/microgrids-101; https://www.climatedrift.com/p/how-to-use-toasters-and-bricks-to-aaa
1.1.1.3.1,Coal,1.1.1.3,5,,,2025-04-17,https://www.climatedrift.com/p/friday-five-indonesias-coal-exit; https://www.climatedrift.com/p/friday-five-philanthropy-stepping; https://www.climatedrift.com/p/key-takeaways-from-ieas-new-net-zero-406
1.1.1.3.1.1,Carbon Capture & Storage,1.1.1.3.1,6,,,2025-04-17,https://www.climatedrift.com/p/a-look-at-carbon-removal; https://www.climatedrift.com/p/carbon-offsets-explained-part-3; https://www.climatedrift.com/p/the-guide-to-the-carbon-removal-hype
1.1.1.3.1.2,Repurposing of Mines,1.1.1.3.1,6,,,2025-04-17,https://www.climatedrift.com/p/the-path-to-responsible-mining-211; https://www.climatedrift.com/p/we-need-to-talk-about-rocks; https://www.climatedrift.com/p/powering-the-future
1.1.1.3.2,Gas,1.1.1.3,5,,,2025-04-17,https://www.climatedrift.com/p/hydrogen-explained-part-1; https://www.climatedrift.com/p/how-to-make-your-home-a-climate-champion; https://www.climatedrift.com/p/a-guide-to-enteric-methane
1.1.1.3.2.1,Improvements,1.1.1.3.2,6,,,2025-04-17,https://www.climatedrift.com/p/strategic-risks; https://www.climatedrift.com/p/i-want-you-for-the-american-climate; https://www.climatedrift.com/p/charging-ahead
1.1.1.3.2.2,Carbon Capture & Storage,1.1.1.3.2,6,,,2025-04-17,https://www.climatedrift.com/p/a-look-at-carbon-removal; https://www.climatedrift.com/p/carbon-offsets-explained-part-3; https://www.climatedrift.com/p/the-guide-to-the-carbon-removal-hype
1.1.1.3.2.3,Flaring emissions,1.1.1.3.2,6,,,2025-04-17,https://www.climatedrift.com/p/a-guide-to-enteric-methane; https://www.climatedrift.com/p/the-complete-guide-to-alternative; https://www.climatedrift.com/p/carbon-offsets-explained-part-1
1.1.1.4,Energy Storage,1.1.1,4,,,2025-04-17,https://www.climatedrift.com/p/blueprint-for-steering-distributed; https://www.climatedrift.com/p/the-decade-of-microgrids-commercialization-0c7; https://www.climatedrift.com/p/10-climate-podcasts-to-a-enjoy-on
1.1.1.4.1,Daily peak shaving & ancillary services (4-6h of storage),1.1.1.4,5,,,2025-04-17,https://www.climatedrift.com/p/redefining-consumption-part-2; https://www.climatedrift.com/p/the-battery-energy-storage-system; https://www.climatedrift.com/p/redefining-consumption-part-1
1.1.1.4.1.1,Lithium-ion Batteries,1.1.1.4.1,6,,,2025-04-17,https://www.climatedrift.com/p/powering-the-future; https://www.climatedrift.com/p/the-battery-energy-storage-system; https://www.climatedrift.com/p/the-path-to-responsible-mining-211
1.1.1.4.2,Daily net load balancing (8-16h of storage),1.1.1.4,5,,,2025-04-17,https://www.climatedrift.com/p/blueprint-for-steering-distributed-f2c; https://www.climatedrift.com/p/the-battery-energy-storage-system; https://www.climatedrift.com/p/microgrids-101
1.1.1.4.2.1,Flow Batteries,1.1.1.4.2,6,,,2025-04-17,https://www.climatedrift.com/p/powering-the-future; https://www.climatedrift.com/p/the-battery-energy-storage-system; https://www.climatedrift.com/p/the-path-to-responsible-mining-211
1.1.1.4.2.2,Gravity-based Batteries,1.1.1.4.2,6,,,2025-04-17,https://www.climatedrift.com/p/powering-the-future; https://www.climatedrift.com/p/the-battery-energy-storage-system; https://www.climatedrift.com/p/the-path-to-responsible-mining-211
1.1.1.4.2.3,Zinc-based Batteries,1.1.1.4.2,6,,,2025-04-17,https://www.climatedrift.com/p/powering-the-future; https://www.climatedrift.com/p/the-battery-energy-storage-system; https://www.climatedrift.com/p/the-path-to-responsible-mining-211
1.1.1.4.2.4,High-temperature Heat,1.1.1.4.2,6,,,2025-04-17,https://www.climatedrift.com/p/how-to-use-toasters-and-bricks-to; https://www.climatedrift.com/p/how-to-use-toasters-and-bricks-to-aaa; https://www.climatedrift.com/p/timing-is-everything-the-working
1.1.1.4.2.5,Compressed Fluids,1.1.1.4.2,6,,,2025-04-17,https://www.climatedrift.com/p/how-can-we-incentivize-safe-and-durable; https://www.climatedrift.com/p/recycled-aluminium-miracle-or-myth; https://www.climatedrift.com/p/hydrogen-explained-part-1
1.1.1.4.2.6,Compressed Air,1.1.1.4.2,6,,,2025-04-17,https://www.climatedrift.com/p/recycled-aluminium-miracle-or-myth; https://www.climatedrift.com/p/how-can-we-incentivize-safe-and-durable; https://www.climatedrift.com/p/hydrogen-explained-part-1
1.1.1.4.3,Firm multi-day & seasonal capacity (100+h of storage),1.1.1.4,5,,,2025-04-17,https://www.climatedrift.com/p/the-battery-energy-storage-system; https://www.climatedrift.com/p/how-can-we-incentivize-safe-and-durable-f1c; https://www.climatedrift.com/p/how-can-we-incentivize-safe-and-durable
1.1.1.4.3.1,Iron Air Batteries,1.1.1.4.3,6,,,2025-04-17,https://www.climatedrift.com/p/powering-the-future; https://www.climatedrift.com/p/the-battery-energy-storage-system; https://www.climatedrift.com/p/the-path-to-responsible-mining-211
1.1.1.4.3.2,Hydrogen,1.1.1.4.3,6,,,2025-04-17,https://www.climatedrift.com/p/hydrogen-explained-part-1; https://www.climatedrift.com/p/climate-hype-curve-transportation-e62; https://www.climatedrift.com/p/climate-hype-curve-transportation-0ff
1.1.1.4.4,Software,1.1.1.4,5,,,2025-04-17,https://www.climatedrift.com/p/the-overview-of-climate-solutions-6ba; https://www.climatedrift.com/p/blueprint-for-steering-distributed-f2c; https://www.climatedrift.com/p/how-has-the-climate-tech-capital
1.1.1.4.4.1,Analytics,1.1.1.4.4,6,,,2025-04-17,https://www.climatedrift.com/p/the-decade-of-microgrids-commercialization-0c7; https://www.climatedrift.com/p/the-complete-guide-to-alternative; https://www.climatedrift.com/p/a-look-at-industry
1.1.1.4.4.2,Optimization,1.1.1.4.4,6,,,2025-04-17,https://www.climatedrift.com/p/can-the-rise-of-economic-nationalism; https://www.climatedrift.com/p/transitioning-into-climate-big-company; https://www.climatedrift.com/p/blueprint-for-steering-distributed-f2c
1.1.1.4.4.3,Systems,1.1.1.4.4,6,,,2025-04-17,https://www.climatedrift.com/p/can-the-rise-of-economic-nationalism; https://www.climatedrift.com/p/how-to-make-your-home-a-climate-champion; https://www.climatedrift.com/p/how-to-build-regenerative-go-to-market
1.1.1.5,Transmission and distribution,1.1.1,4,,,2025-04-17,https://www.climatedrift.com/p/the-battery-energy-storage-system; https://www.climatedrift.com/p/a-guide-to-virtual-power-plants-vpp; https://www.climatedrift.com/p/the-sustainable-aviation-fuel-saf
1.1.1.5.1,Building new transmission,1.1.1.5,5,,,2025-04-17,https://www.climatedrift.com/p/rebuilding-for-resilience-how-la; https://www.climatedrift.com/p/a-look-at-building-companies; https://www.climatedrift.com/p/how-to-make-your-home-a-climate-champion
1.1.1.5.2,Technologies,1.1.1.5,5,,,2025-04-17,https://www.climatedrift.com/p/how-solar-got-cheap; https://www.climatedrift.com/p/strategic-risks; https://www.climatedrift.com/p/the-capital-stack-for-scaling-climate
1.1.1.5.2.1,Transformers,1.1.1.5.2,6,,,2025-04-17,
1.1.1.5.2.2,Superconducting cables,1.1.1.5.2,6,,,2025-04-17,https://www.climatedrift.com/p/a-guide-to-residential-solar
1.1.1.5.2.3,Power flow controllers,1.1.1.5.2,6,,,2025-04-17,https://www.climatedrift.com/p/microsofts-10-billion-power-bill; https://www.climatedrift.com/p/microgrids-101; https://www.climatedrift.com/p/the-decade-of-microgrids-commercialization
1.1.1.5.2.3.1,Advanced Power Flow Control,1.1.1.5.2.3,7,,,2025-04-17,https://www.climatedrift.com/p/microsofts-10-billion-power-bill; https://www.climatedrift.com/p/microgrids-101; https://www.climatedrift.com/p/the-guide-to-advanced-air-mobility
1.1.1.5.2.3.2,Dynamic Line Ratings,1.1.1.5.2.3,7,,,2025-04-17,https://www.climatedrift.com/p/how-do-climate-offtakes-work; https://www.climatedrift.com/p/blueprint-for-steering-distributed-f2c; https://www.climatedrift.com/p/beyond-buzzwords
1.1.1.5.2.3.3,Topology Optimization,1.1.1.5.2.3,7,,,2025-04-17,https://www.climatedrift.com/p/can-the-rise-of-economic-nationalism; https://www.climatedrift.com/p/transitioning-into-climate-big-company; https://www.climatedrift.com/p/blueprint-for-steering-distributed-f2c
1.1.1.5.2.4,Maintenance,1.1.1.5.2,6,,,2025-04-17,https://www.climatedrift.com/p/the-decade-of-microgrids-commercialization-0c7; https://www.climatedrift.com/p/redefining-consumption-part-3; https://www.climatedrift.com/p/redefining-consumption-part-2
1.1.1.5.2.4.1,Inspection,1.1.1.5.2.4,7,,,2025-04-17,https://www.climatedrift.com/p/how-to-make-your-home-a-climate-champion; https://www.climatedrift.com/p/rebuilding-for-resilience-how-la
1.1.1.6,The Grid & Demand,1.1.1,4,,,2025-04-17,https://www.climatedrift.com/p/the-decade-of-microgrids-commercialization; https://www.climatedrift.com/p/microgrids-101; https://www.climatedrift.com/p/blueprint-for-steering-distributed-f2c
1.1.1.6.1,Smart Grids,1.1.1.6,5,,,2025-04-17,https://www.climatedrift.com/p/a-guide-to-virtual-power-plants-vpp; https://www.climatedrift.com/p/the-decade-of-microgrids-commercialization-0c7; https://www.climatedrift.com/p/new-material-matters
1.1.1.6.2,Smart meter,1.1.1.6,5,,,2025-04-17,https://www.climatedrift.com/p/microgrids-101; https://www.climatedrift.com/p/the-decade-of-microgrids-commercialization-0c7; https://www.climatedrift.com/p/new-material-matters
1.1.1.6.3,Demand response & control,1.1.1.6,5,,,2025-04-17,https://www.climatedrift.com/p/a-guide-to-virtual-power-plants-vpp; https://www.climatedrift.com/p/refurbishment-and-ikea; https://www.climatedrift.com/p/blueprint-for-steering-distributed
1.1.1.6.4,Microgrid,1.1.1.6,5,,,2025-04-17,https://www.climatedrift.com/p/the-decade-of-microgrids-commercialization-0c7; https://www.climatedrift.com/p/microgrids-101; https://www.climatedrift.com/p/the-decade-of-microgrids-commercialization
